Requirement ID,Requirement Description,Source (BRD/FRS/SRS),Design Reference,Development Reference,Test Case ID,Status,Remarks
NFR-019,"UI pages (SPA) shall have LCP ? 2.5s on 4G, 95th percentile.",NFR,Section Performance in NFR Matrix,System Module / Config,TC-Audit-01,Open,
NFR-020,"KYC documents retained per policy (e.g., 7 years) with legal hold support.",NFR,Section Data Retention in NFR Matrix,System Module / Config,TC-Perf-01,Open,
NFR-021,APIs follow OpenAPI 3.0; consistent error model and versioning.,NFR,Section Interoperability in NFR Matrix,System Module / Config,,Open,
NFR-022,Document store sized for 5 TB Y1 with 30% headroom.,NFR,Section Capacity in NFR Matrix,System Module / Config,,Open,
NFR-023,Mask PII in non?prod and logs; use synthetic/anonymized data.,NFR,Section Privacy in NFR Matrix,System Module / Config,,Open,
NFR-024,User?facing errors must be friendly with correlation IDs.,NFR,Section Error Handling in NFR Matrix,System Module / Config,,Open,
NFR-025,Asynchronous jobs retry with backoff; DLQ on final failure.,NFR,Section Queueing/Retry in NFR Matrix,System Module / Config,,Open,
NFR-026,System uses UTC; time?zone rendering per user locale in UI.,NFR,Section Time/Clock in NFR Matrix,System Module / Config,,Open,
NFR-027,Secrets managed in vault; no secrets in code or CI logs.,NFR,Section Security in NFR Matrix,System Module / Config,,Open,
NFR-028,Graceful degradation when external vendors fail.,NFR,Section Availability in NFR Matrix,System Module / Config,,Open,
